Title,Genre,Year Release,Rating,Studio
Fruits Basket 2nd Season,"{'Romance', 'Drama', 'Supernatural'}",2020,8.54,TMS Entertainment
Bakuman. Season 3,"{'Romance', 'Comedy', 'Drama'}",2012,8.53,J.C.Staff
Steins;Gate 0,"{'Drama', 'Sci-Fi', 'Suspense'}",2018,8.53,White Fox
KonoSuba: God's Blessing on This Wonderful World! 3,"{'Comedy', 'Fantasy', 'Adventure'}",2024,8.53,Drive
Ghost in the Shell: Stand Alone Complex 2nd GIG,"{'Mystery', 'Sci-Fi', 'Action'}",2004,8.52,Production I.G
Gintama.: Slip Arc,"{'Comedy', 'Sci-Fi', 'Action'}",2017,8.52,Bandai Namco Pictures
A Place Further Than The Universe,"{'Comedy', 'Adventure', 'Drama'}",2018,8.52,Madhouse
Attack on Titan Season 2,"{'Drama', 'Suspense', 'Action'}",2017,8.51,Wit Studio
Ranking of Kings,"{'Fantasy', 'Adventure'}",2021,8.51,Wit Studio
Samurai Champloo,"{'Comedy', 'Adventure', 'Action'}",2004,8.51,Manglobe
Chainsaw Man,"{'Fantasy', 'Action'}",2022,8.51,MAPPA
JoJo's Bizarre Adventure: Diamond Is Unbreakable,"{'Adventure', 'Supernatural', 'Action'}",2016,8.5,David Production
The Promised Neverland,"{'Fantasy', 'Sci-Fi', 'Suspense', 'Mystery'}",2019,8.5,CloverWorks
One Punch Man,"{'Comedy', 'Action'}",2015,8.5,Madhouse
Mob Psycho 100,"{'Comedy', 'Supernatural', 'Action'}",2016,8.49,Bones
Aria the Origination,"{'Slice of Life', 'Fantasy', 'Sci-Fi'}",2008,8.49,HAL Film Maker
Summer Time Rendering,"{'Suspense', 'Supernatural', 'Mystery'}",2022,8.49,OLM
Assassination Classroom Second Season,"{'Comedy', 'Action'}",2016,8.48,Lerche
Banana Fish,"{'Drama', 'Adventure', 'Suspense', 'Action'}",2018,8.47,MAPPA
Demon Slayer: Kimetsu no Yaiba,"{'Award Winning', 'Fantasy', 'Action'}",2019,8.47,ufotable
Rainbow,"{'Drama', 'Suspense'}",2010,8.47,Madhouse
Yu Yu Hakusho: Ghost Files,"{'Fantasy', 'Action'}",1992,8.46,Pierrot
Bungo Stray Dogs 4,"{'Mystery', 'Supernatural', 'Action'}",2023,8.45,Bones
Golden Kamuy Season 3,"{'Adventure', 'Action'}",2020,8.45,Geno Studio
Owarimonogatari,"{'Comedy', 'Supernatural', 'Mystery'}",2015,8.45,Shaft
JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"{'Adventure', 'Supernatural', 'Action'}",2015,8.44,David Production
Re:ZERO -Starting Life in Another World- Season 2 Part 2,"{'Drama', 'Fantasy', 'Suspense'}",2021,8.43,White Fox
Ghost in the Shell: Stand Alone Complex,"{'Mystery', 'Award Winning', 'Sci-Fi', 'Action'}",2002,8.42,Production I.G
Mononoke,"{'Suspense', 'Horror', 'Supernatural', 'Mystery'}",2007,8.42,Toei Animation
The Disastrous Life of Saiki K. 2,"{'Comedy', 'Supernatural'}",2018,8.42,"J.C.Staff, Egg Firm"
Hunter x Hunter,"{'Fantasy', 'Adventure', 'Action'}",1999,8.42,Nippon Animation
The Disastrous Life of Saiki K.,"{'Comedy', 'Supernatural'}",2016,8.41,"J.C.Staff, Egg Firm"
Vivy -Fluorite Eye's Song-,"{'Sci-Fi', 'Suspense', 'Action'}",2021,8.4,Wit Studio
Land of the Lustrous,"{'Mystery', 'Drama', 'Fantasy', 'Action'}",2017,8.39,Orange
Cross Game,"{'Romance', 'Drama', 'Sports'}",2009,8.38,SynergySP
Run with the Wind,"{'Drama', 'Sports'}",2018,8.38,Production I.G
That Time I Got Reincarnated as a Slime Season 2,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",2021,8.38,8bit
The Eminence in Shadow Season 2,"{'Comedy', 'Fantasy', 'Action'}",2023,8.37,Nexus
Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,"{'Fantasy', 'Action'}",2021,8.37,ufotable
Puella Magi Madoka Magica,"{'Drama', 'Fantasy', 'Suspense', 'Award Winning'}",2011,8.37,Shaft
Mushoku Tensei: Jobless Reincarnation,"{'Ecchi', 'Drama', 'Fantasy', 'Adventure'}",2021,8.37,Studio Bind
Baccano!,"{'Mystery', 'Supernatural', 'Action'}",2007,8.36,Brain's Base
To Your Eternity,"{'Drama', 'Adventure', 'Supernatural'}",2021,8.35,Brain's Base
Initial D First Stage,"{'Drama', 'Action'}",1998,8.35,"Gallop, Studio Comet"
Neon Genesis Evangelion,"{'Award Winning', 'Drama', 'Suspense', 'Action', 'Sci-Fi', 'Avant Garde'}",1995,8.35,"Gainax, Tatsunoko Production"
My Teen Romantic Comedy SNAFU Climax!,"{'Romance', 'Comedy'}",2020,8.35,feel.
Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,"{'Ecchi', 'Drama', 'Fantasy', 'Adventure'}",2024,8.35,Studio Bind
Romeo and the Black Brothers,"{'Drama', 'Adventure'}",1995,8.34,Nippon Animation
Bakuman. Season 2,"{'Romance', 'Comedy', 'Drama'}",2011,8.34,J.C.Staff
The Rose of Versailles,"{'Romance', 'Drama'}",1979,8.34,Tokyo Movie Shinsha
That Time I Got Reincarnated as a Slime Season 2 Part 2,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",2021,8.33,8bit
Parasyte: The Maxim,"{'Sci-Fi', 'Horror', 'Suspense', 'Action'}",2014,8.33,Madhouse
One Outs,"{'Suspense', 'Sports'}",2008,8.33,Madhouse
Psycho-Pass,"{'Mystery', 'Sci-Fi', 'Suspense', 'Action'}",2012,8.33,Production I.G
Re:ZERO -Starting Life in Another World- Season 2,"{'Drama', 'Fantasy', 'Suspense'}",2020,8.33,White Fox
Bakemonogatari,"{'Romance', 'Supernatural', 'Mystery'}",2009,8.33,Shaft
Tomorrow's Joe,"{'Drama', 'Sports'}",1970,8.32,Mushi Production
Fate/stay night [Unlimited Blade Works] Season 2,"{'Fantasy', 'Supernatural', 'Action'}",2015,8.32,ufotable
The Beast Player Erin,"{'Drama', 'Fantasy'}",2009,8.32,"Production I.G, Trans Arts"
Solo Leveling,"{'Fantasy', 'Adventure', 'Action'}",2024,8.32,A-1 Pictures
Katanagatari,"{'Romance', 'Adventure', 'Action'}",2010,8.31,White Fox
Natsume's Book of Friends,"{'Slice of Life', 'Supernatural'}",2008,8.31,Brain's Base
Welcome to the N.H.K.,"{'Romance', 'Comedy', 'Suspense', 'Drama'}",2006,8.31,Gonzo
Spice and Wolf II,"{'Romance', 'Fantasy', 'Adventure'}",2009,8.31,"Brain's Base, Marvy Jack"
Kids on the Slope,"{'Romance', 'Drama'}",2012,8.3,"Tezuka Productions, MAPPA"
86 Eighty-Six,"{'Drama', 'Sci-Fi', 'Action'}",2021,8.3,A-1 Pictures
Anohana: The Flower We Saw That Day,"{'Drama', 'Supernatural'}",2011,8.3,A-1 Pictures
Erased,"{'Suspense', 'Supernatural', 'Mystery'}",2016,8.3,A-1 Pictures
Beck: Mongolian Chop Squad,"{'Comedy', 'Drama'}",2004,8.29,Madhouse
The Eminence in Shadow,"{'Comedy', 'Fantasy', 'Action'}",2022,8.29,Nexus
Kino's Journey,"{'Drama', 'Fantasy', 'Adventure'}",2003,8.29,A.C.G.T.
Rurouni Kenshin,"{'Romance', 'Comedy', 'Action'}",1996,8.29,"Gallop, Studio Deen"
Dr. Stone,"{'Comedy', 'Sci-Fi', 'Adventure'}",2019,8.28,TMS Entertainment
Shirobako,"{'Comedy', 'Drama', 'Award Winning'}",2014,8.28,P.A. Works
Moriarty the Patriot Part 2,"{'Suspense', 'Mystery'}",2021,8.28,Production I.G
From the New World,"{'Drama', 'Fantasy', 'Horror', 'Suspense', 'Sci-Fi', 'Mystery'}",2012,8.27,A-1 Pictures
